;Emissions DM;Emissions OM;H_ice;H_plb;H_source;P_ice;P_ice_no_bonus;P_ice_with_bonus;P_in_hp;P_source;P_spotmarket;Q_demand;Q_ice;Q_out_hp;Q_plb;enw_to_spotmarket
2019-01-01 00:00:00;0.6011810532655297;0.28802830793497275;0.0;0.0;0.0;0.0;0.0;0.0;1.0064038518745568;1.0064038518745568;0.0;3.045136364;0.0;3.045136364;0.0;0.0
2019-01-01 01:00:00;0.5849742497922218;0.2591844430719983;0.0;0.0;0.0;0.0;0.0;0.0;1.0055197934252775;1.0055197934252775;0.0;3.041931545;0.0;3.041931545;0.0;0.0
2019-01-01 02:00:00;0.6192582931228647;0.2667519502442014;0.0;0.0;0.0;0.0;0.0;0.0;1.051848115741742;1.051848115741742;0.0;3.209877327;0.0;3.209877327;0.0;0.0
2019-01-01 03:00:00;0.6354817170029241;0.2614751450405713;0.0;0.0;0.0;0.0;0.0;0.0;1.0483657535232127;1.0483657535232127;0.0;3.197253342;0.0;3.197253342;0.0;0.0
2019-01-01 04:00:00;0.6384136633548392;0.2540340935333884;0.0;0.0;0.0;0.0;0.0;0.0;1.0539331748737104;1.0539331748737104;0.0;3.217435919;0.0;3.217435919;0.0;0.0
2019-01-01 05:00:00;0.6761089985631678;0.26265848992984997;0.0;0.0;0.0;0.0;0.0;0.0;1.116557032216388;1.116557032216388;0.0;3.44445499;0.0;3.44445499;0.0;0.0
2019-01-01 06:00:00;0.6820495092087706;0.25778723311164764;0.0;0.0;0.0;0.0;0.0;0.0;1.1295945971735086;1.1295945971735086;0.0;3.551453508;0.0;3.551453508;0.0;0.0
2019-01-01 07:00:00;0.7091278493834187;0.26566371948097284;0.0;0.0;0.0;0.0;0.0;0.0;1.1834417421694072;1.1834417421694072;0.0;3.686920168;0.0;3.686920168;0.0;0.0
2019-01-01 08:00:00;0.7030759165984265;0.25962658301672137;0.0;0.0;0.0;0.0;0.0;0.0;1.1774678416353137;1.1774678416353137;0.0;3.727509179;0.0;3.727509179;0.0;0.0
2019-01-01 09:00:00;0.7519195272516378;0.2783684952720624;0.0;0.0;0.0;0.0;0.0;0.0;1.237621562384104;1.237621562384104;0.0;3.948726767;0.0;3.948726767;0.0;0.0
2019-01-01 10:00:00;0.760284880190762;0.27157704434413205;0.0;0.0;0.0;0.0;0.0;0.0;1.2310115628007468;1.2310115628007468;0.0;3.924418243;0.0;3.924418243;0.0;0.0
