;Emissions DM;Emissions OM;H_ice;H_plb;H_source;P_ice;P_ice_no_bonus;P_ice_with_bonus;P_in_hp;P_source;P_spotmarket;Q_demand;Q_ice;Q_out_hp;Q_plb;enw_to_spotmarket
2019-01-01 00:00:00;0.5598142694584954;0.2682093121766527;0.0;0.0;0.0;0.0;0.0;0.0;0.9371540138483517;0.9371540138483517;0.0;3.045136364;0.0;3.045136364;0.0;0.0
2019-01-01 01:00:00;0.5447292783000783;0.24135311028026496;0.0;0.0;0.0;0.0;0.0;0.0;0.936342192128195;0.936342192128195;0.0;3.041931545;0.0;3.041931545;0.0;0.0
2019-01-01 02:00:00;0.5763024640990817;0.2482482801380392;0.0;0.0;0.0;0.0;0.0;0.0;0.9788850108135276;0.9788850108135276;0.0;3.209877327;0.0;3.209877327;0.0;0.0
2019-01-01 03:00:00;0.5914265808397706;0.24334822996208497;0.0;0.0;0.0;0.0;0.0;0.0;0.9756871936457149;0.9756871936457149;0.0;3.197253342;0.0;3.197253342;0.0;0.0
2019-01-01 04:00:00;0.5941135015006471;0.2364064140115028;0.0;0.0;0.0;0.0;0.0;0.0;0.9807996990250626;0.9807996990250626;0.0;3.217435919;0.0;3.217435919;0.0;0.0
2019-01-01 05:00:00;0.6287259619451762;0.24425087093229023;0.0;0.0;0.0;0.0;0.0;0.0;1.0383065387959218;1.0383065387959218;0.0;3.44445499;0.0;3.44445499;0.0;0.0
2019-01-01 06:00:00;0.6354212778953593;0.24016364043562843;0.0;0.0;0.0;0.0;0.0;0.0;1.052370000635805;1.052370000635805;0.0;3.551453508;0.0;3.551453508;0.0;0.0
2019-01-01 07:00:00;0.6589647457678623;0.24687089291407743;0.0;0.0;0.0;0.0;0.0;0.0;1.0997260754006632;1.0997260754006632;0.0;3.686920168;0.0;3.686920168;0.0;0.0
2019-01-01 08:00:00;0.6546836103151393;0.2417566363608689;0.0;0.0;0.0;0.0;0.0;0.0;1.0964234151574224;1.0964234151574224;0.0;3.727509179;0.0;3.727509179;0.0;0.0
2019-01-01 09:00:00;0.6997647544351968;0.25906025136565;0.0;0.0;0.0;0.0;0.0;0.0;1.1517774406669803;1.1517774406669803;0.0;3.948726767;0.0;3.948726767;0.0;0.0
2019-01-01 10:00:00;0.7075924409056288;0.25275507735098524;0.0;0.0;0.0;0.0;0.0;0.0;1.1456948562316247;1.1456948562316247;0.0;3.924418243;0.0;3.924418243;0.0;0.0
2019-01-01 11:00:00;0.6699979451258807;0.23120211225524007;0.0;0.0;0.0;0.0;0.0;0.0;1.0880980529248696;1.0880980529248696;0.0;3.694237587;0.0;3.694237587;0.0;0.0
2019-01-01 12:00:00;0.6628203583655858;0.22921366192781717;0.0;0.0;0.0;0.0;0.0;0.0;1.0853474503294784;1.0853474503294784;0.0;3.683245041;0.0;3.683245041;0.0;0.0
2019-01-01 13:00:00;0.6509850520885524;0.2253086885976595;0.0;0.0;0.0;0.0;0.0;0.0;1.0654584260164506;1.0654584260164506;0.0;3.603760271;0.0;3.603760271;0.0;0.0
2019-01-01 14:00:00;0.6669374025252743;0.2321452174972633;0.0;0.0;0.0;0.0;0.0;0.0;1.09362833118156;1.09362833118156;0.0;3.716338867;0.0;3.716338867;0.0;0.0
2019-01-01 15:00:00;0.6683453949978684;0.24743223534800246;0.0;0.0;0.0;0.0;0.0;0.0;1.1061447569771115;1.1061447569771115;0.0;3.766359683;0.0;3.766359683;0.0;0.0
2019-01-01 16:00:00;0.6824504296163132;0.26068918477018854;0.0;0.0;0.0;0.0;0.0;0.0;1.1460422521948601;1.1460422521948601;0.0;3.925806581;0.0;3.925806581;0.0;0.0
2019-01-01 17:00:00;0.6837767937148385;0.26183510636831353;0.0;0.0;0.0;0.0;0.0;0.0;1.153326752976946;1.153326752976946;0.0;3.95491846;0.0;3.95491846;0.0;0.0
2019-01-01 18:00:00;0.7065417367838512;0.26554330019001426;0.0;0.0;0.0;0.0;0.0;0.0;1.1865759655738626;1.1865759655738626;0.0;4.08779607;0.0;4.08779607;0.0;0.0
2019-01-01 19:00:00;0.7107897309973411;0.2563285388961262;0.0;0.0;0.0;0.0;0.0;0.0;1.173930400996935;1.173930400996935;0.0;4.037259162;0.0;4.037259162;0.0;0.0
2019-01-01 20:00:00;0.7150981348373044;0.24896969728054935;0.0;0.0;0.0;0.0;0.0;0.0;1.1577559748144375;1.1577559748144375;0.0;3.972619463;0.0;3.972619463;0.0;0.0
2019-01-01 21:00:00;0.6983701175909595;0.23949262001129779;0.0;0.0;0.0;0.0;0.0;0.0;1.10662207117055;1.10662207117055;0.0;3.768267228;0.0;3.768267228;0.0;0.0
2019-01-01 22:00:00;0.691854602364204;0.24562639028119937;0.0;0.0;0.0;0.0;0.0;0.0;1.0966909084827092;1.0966909084827092;0.0;3.728578193;0.0;3.728578193;0.0;0.0
2019-01-01 23:00:00;0.6914848601068564;0.2372952753745877;0.0;0.0;0.0;0.0;0.0;0.0;1.0931608087670925;1.0931608087670925;0.0;3.714470454;0.0;3.714470454;0.0;0.0
2019-01-02 00:00:00;0.8005379151644485;0.5148021070563354;0.0;0.0;0.0;0.0;0.0;0.0;1.0944031225828;1.0944031225828;0.0;3.719435254;0.0;3.719435254;0.0;0.0
2019-01-02 01:00:00;0.8210495331745498;0.5200120021500588;0.0;0.0;0.0;0.0;0.0;0.0;1.1317743155551128;1.1317743155551128;0.0;3.868786003;0.0;3.868786003;0.0;0.0
2019-01-02 02:00:00;0.8420165757695718;0.5198441076714914;0.0;0.0;0.0;0.0;0.0;0.0;1.1732274272349126;1.1732274272349126;0.0;4.034449788;0.0;4.034449788;0.0;0.0
2019-01-02 03:00:00;0.8405307483441921;0.5074850237786073;0.0;0.0;0.0;0.0;0.0;0.0;1.1879494507432802;1.1879494507432802;0.0;4.093285085;0.0;4.093285085;0.0;0.0
2019-01-02 04:00:00;0.8724367890690106;0.527970143910728;0.0;0.0;0.0;0.0;0.0;0.0;1.2291931954263737;1.2291931954263737;0.0;4.198015986;0.0;4.198015986;0.0;0.0
2019-01-02 05:00:00;1.0605235999766651;0.7100262869446049;0.0;0.6581238356438032;0.6581238356438032;0.0;0.0;0.0;1.287002082;1.287002082;0.0;4.929629684;0.0;4.304412040138387;0.625217643861613;0.0
2019-01-02 06:00:00;1.334539052139874;0.982477429140542;0.0;1.676955344081423;1.676955344081423;0.0;0.0;0.0;1.365836456;1.365836456;0.0;5.881193847;0.0;4.288086270122648;1.593107576877352;0.0
2019-01-02 07:00:00;0.217678310524146;0.6192876799344877;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;1.3524145008672759;0.0;1.6681131731327243;6.586915392;2.6891758118446454;3.8977395801553545;0.0;1.6681131731327243
2019-01-02 08:00:00;-1.1198067777409633;0.016003930388785115;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.690625471457053;0.0;4.945424817542947;5.909192429;4.177344253612333;1.7318481753876673;0.0;4.945424817542947
2019-01-02 09:00:00;-1.5022329768735183;-0.2315187760156494;12.194723109976993;0.5548177814607025;12.749540891437695;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.704421146;4.177344253612333;0.0;0.5270768923876674;5.636050289
2019-01-02 10:00:00;-1.3096217018478584;-0.24541373112382248;10.426764774768225;4.674623261579606e-16;10.426764774768225;4.72926771896975;4.72926771896975;0.0;0.0;0.0;4.729267718969749;3.661407134;3.6614071339999996;0.0;4.440892098500626e-16;4.729267718969749
2019-01-02 11:00:00;-1.0536073499287155;-0.17352552421435452;8.928840574788415;0.0;8.928840574788415;3.960985158958059;3.960985158958059;0.0;0.0;0.0;3.960985158958059;3.224273135;3.224273135;0.0;0.0;3.960985158958059
2019-01-02 12:00:00;0.7336888688604104;0.5084321234808147;0.0;0.0;0.0;0.0;0.0;0.0;1.0174414292751601;1.0174414292751601;0.0;3.3620860439999998;0.0;3.3620860439999998;0.0;0.0
